organization_name,city,state,FY12,FY13,institution_type,direct_cost,indirect_cost,funding,calculated_indirect_cost
SUNY COLLEGE AT NEW PALTZ,NEW PALTZ,NEW YORK,78.5,78.5,Higher Ed,0,0,0,0
INSTITUTE FOR MOLECULAR MEDICINE,HUNTINGTON BEACH,CALIFORNIA,77.2,77.2,NP res inst,0,0,0,0
SPRINGFIELD COLLEGE,SPRINGFIELD,MASSACHUSETTS,76.4,76.4,Higher Ed,0,0,0,0
MOLECULAR SCIENCES INSTITUTE,BERKELEY,CALIFORNIA,75,75,NP res inst,0,0,0,0
UNIVERSIDAD METROPOLITANA,SAN JUAN,PUERTO RICO,70,75,Higher Ed,0,0,0,0
VACCINE RESEARCH INSTITUTE OF SAN DIEGO,SAN DIEGO,CALIFORNIA,72.9,75,NP res inst,0,0,0,0
COLLEGE AT ONEONTA,ALBANY,NEW YORK,74,74,Higher Ed,0,0,0,0
CHILDREN'S RESEARCH INSTITUTE,WASHINGTON,DIST OF COL,72,72,NP res inst,0,0,0,0
MC LAUGHLIN RESEARCH INSTITUTE,GREAT FALLS,MONTANA,72,72,NP res inst,0,0,0,0
ASSUMPTION COLLEGE,WORCESTER,MASSACHUSETTS,70,70,Higher Ed,0,0,0,0
UNIVERSITY OF SAN FRANCISCO,SAN FRANCISCO,CALIFORNIA,70,70,Higher Ed,0,0,0,0
KEAN UNIVERSITY,UNION,NEW JERSEY,69,69,Higher Ed,0,0,0,0
COLGATE UNIVERSITY,HAMILTON,NEW YORK,65,65,Higher Ed,0,0,0,0
LA GUARDIA COMMUNITY COLLEGE,LONG ISLAND CITY,NEW YORK,65,65,Higher Ed,0,0,0,0
MOUNT HOLYOKE COLLEGE,SOUTH HADLEY,MASSACHUSETTS,64.1,64.1,Higher Ed,0,0,0,0
MERCY COLLEGE,DOBBS FERRY,NEW YORK,63,64,Higher Ed,0,0,0,0
COLLEGE OF THE HOLY CROSS,WORCESTER,MASSACHUSETTS,63,63,Higher Ed,0,0,0,0
OBERLIN COLLEGE,OBERLIN,OHIO,62.4,62.4,Higher Ed,0,0,0,0
BENEDICT COLLEGE,COLUMBIA,SOUTH CAROLINA,62,62,Higher Ed,0,0,0,0
CENTRAL CONNECTICUT STATE UNIVERSITY,NEW BRITAIN,CONNECTICUT,62,62,Higher Ed,0,0,0,0
QUINNIPIAC UNIVERSITY,HAMDEN,CONNECTICUT,61.6,61.6,Higher Ed,0,0,0,0
WALSH UNIVERSITY,NORTH CANTON,OHIO,61.1,61.1,Higher Ed,0,0,0,0
UNIVERSITY OF THE INCARNATE WORD,SAN ANTONIO,TEXAS,60,60,Higher Ed,0,0,0,0
CENTRAL NEW YORK RESEARCH CORPORATION,SYRACUSE,NEW YORK,59.6,59.6,NP res inst,0,0,0,0
JEFFERSON STATE COMMUNITY COLLEGE,BIRMINGHAM,ALABAMA,59,59,Higher Ed,0,0,0,0
UNIVERSITY OF WISCONSIN PARKSIDE,KENOSHA,WISCONSIN,58,59,Higher Ed,0,0,0,0
STATE UNIVERSITY OF NEW YORK AT BUFFALO,BUFFALO,NEW YORK,58.5,58.5,Higher Ed,0,0,0,0
NORTHWEST INDIAN COLLEGE,BELLINGHAM,WASHINGTON,58,58,NP res inst,0,0,0,0
"ORLANDO REGIONAL HEALTHCARE SYSTEM, INC.",ORLANDO,FLORIDA,55,58,NP res inst,0,0,0,0
AKRON GENERAL MEDICAL CENTER,AKRON,OHIO,57,57,Hosp,0,0,0,0
HAVERFORD COLLEGE,HAVERFORD,PENNSYLVANIA,57,57,Higher Ed,0,0,0,0
PHILADELPHIA COLLEGE OF OSTEOPATHIC MED,PHILADELPHIA,PENNSYLVANIA,56.6,56.6,Higher Ed,0,0,0,0
FRANKLIN W. OLIN COLLEGE OF ENGINEERING,NEEDHAM,MASSACHUSETTS,56,56,Higher Ed,0,0,0,0
SCOTT AND WHITE MEMORIAL HOSPITAL,TEMPLE,TEXAS,56,56,Hosp,0,0,0,0
AMHERST COLLEGE,AMHERST,MASSACHUSETTS,55.5,55.5,Higher Ed,0,0,0,0
LINCOLN UNIVERSITY,LINCOLN UNIVERSITY,PENNSYLVANIA,55,55,Higher Ed,0,0,0,0
UNIVERSITY OF TENNESSEE SPACE INSTITUTE,TULLAHOMA,TENNESSEE,55,55,Higher Ed,0,0,0,0
UNIVERSITY OF SAN DIEGO,SAN DIEGO,CALIFORNIA,54.5,54.5,Higher Ed,0,0,0,0
"GENETIC ALLIANCE, INC.",WASHINGTON,DIST OF COL,53.4,53.4,NP res inst,0,0,0,0
COLBY COLLEGE,WATERVILLE,MAINE,53,53,Higher Ed,0,0,0,0
GONZAGA UNIVERSITY,SPOKANE,WASHINGTON,53,53,Higher Ed,0,0,0,0
VIRGINIA STATE UNIVERSITY,PETERSBURG,VIRGINIA,53,53,Higher Ed,0,0,0,0
CUYAHOGA COMMUNITY COLLEGE,CLEVELAND,OHIO,52,52,Higher Ed,0,0,0,0
"INTERNET SOLUTIONS FOR KIDS, INC.",SAN CLEMENTE,CALIFORNIA,51.6,51.6,NP res inst,0,0,0,0
CENTRAL WASHINGTON UNIVERSITY,ELLENSBURG,WASHINGTON,49.5,51.5,Higher Ed,0,0,0,0
UNIVERSITY OF MISSOURI-COLUMBIA,COLUMBIA,MISSOURI,51.5,51.5,Higher Ed,0,0,0,0
UNIVERSITY OF KANSAS MEDICAL CENTER,KANSAS CITY,KANSAS,51,51,Higher Ed,0,0,0,0
ORTHOPAEDIC HOSPITAL,LOS ANGELES,CALIFORNIA,50.3,50.3,Hosp,0,0,0,0
"BALTIMORE CITY HEALTHY START, INC.",BALTIMORE,MARYLAND,50,50,NP res inst,0,0,0,0
GEORGIA  HEALTH SCIENCES UNIVERSITY,AUGUSTA,GEORGIA,49,50,Higher Ed,0,0,0,0
VALDOSTA STATE UNIVERSITY,VALDOSTA,GEORGIA,50,50,Higher Ed,0,0,0,0
UNIVERSITY OF TEXAS HLTH SCI CTR SAN ANT,SAN ANTONIO,TEXAS,48.5,49.5,Higher Ed,0,0,0,0
WESTERN MICHIGAN UNIVERSITY,KALAMAZOO,MICHIGAN,49,49,Higher Ed,0,0,0,0
UNIVERSITY OF ALABAMA IN HUNTSVILLE,HUNTSVILLE,ALABAMA,48,48,Higher Ed,0,0,0,0
PRAIRIE VIEW AGRI & MECH UNIVERSITY,PRAIRIE VIEW,TEXAS,46,47.5,Higher Ed,0,0,0,0
CHILDREN'S HOSP PITTSBURGH/UPMC HLTH SYS,PITTSBURGH,PENNSYLVANIA,47,47,Hosp,0,0,0,0
JAMES MADISON UNIVERSITY,HARRISONBURG,VIRGINIA,47,47,Higher Ed,0,0,0,0
SACRED HEART MEDICAL CENTER,SPOKANE,WASHINGTON,47,47,Hosp,0,0,0,0
UNIVERSITY OF TEXAS DALLAS,RICHARDSON,TEXAS,47,47,Higher Ed,0,0,0,0
UNIVERSITY OF WISCONSIN WHITEWATER,WHITEWATER,WISCONSIN,46,47,Higher Ed,0,0,0,0
NATIONAL CHILDHOOD CANCER FOUNDATION,ARCADIA,CALIFORNIA,46.9,46.9,NP res inst,0,0,0,0
ROSE-HULMAN INSTITUTE OF TECHNOLOGY,TERRE HAUTE,INDIANA,46.3,46.3,Higher Ed,0,0,0,0
CENTER FOR APPLIED LINGUISTICS,WASHINGTON,DIST OF COL,46,46,NP res inst,0,0,0,0
TEXAS A&M UNIVERSITY HEALTH SCIENCE CTR,COLLEGE STATION,TEXAS,46.5,46,Higher Ed,0,0,0,0
ALLAN HANCOCK COLLEGE,SANTA MARIA,CALIFORNIA,45,45,Higher Ed,0,0,0,0
DOMINICAN UNIVERSITY,SAN RAFAEL,CALIFORNIA,45,45,Higher Ed,0,0,0,0
LEWIS AND CLARK COLLEGE,PORTLAND,OREGON,45,45,Higher Ed,0,0,0,0
LOUISIANA STATE UNIV-UNIV OF NEW ORLEANS,NEW ORLEANS,LOUISIANA,45,45,Higher Ed,0,0,0,0
ROOSEVELT UNIVERSITY,CHICAGO,ILLINOIS,No Rate,45,Higher Ed,0,0,0,0
SOUTHERN ILLINOIS UNIV AT EDWARDSVILLE,EDWARDSVILLE,ILLINOIS,44.5,44.5,Higher Ed,0,0,0,0
"CENTER FOR RESEARCH TO PRACTICE, INC.",EUGENE,OREGON,44,44,NP res inst,0,0,0,0
ST. NORBERT COLLEGE,DE PERE,WISCONSIN,44,44,Higher Ed,0,0,0,0
WINSTON-SALEM STATE UNIVERSITY,WINSTON-SALEM,NORTH CAROLINA,43.7,43.7,Higher Ed,0,0,0,0
WEST CHESTER UNIVERSITY OF PENNSYLVANIA,WEST CHESTER,PENNSYLVANIA,43.6,43.6,Higher Ed,0,0,0,0
UNIVERSITY OF NORTH FLORIDA,JACKSONVILLE,FLORIDA,43.5,43.5,Higher Ed,0,0,0,0
"CENTRAL STATE UNIV (WILBERFORCE, OH)",WILBERFORCE,OHIO,43,43,Higher Ed,0,0,0,0
FERRIS STATE UNIVERSITY,BIG RAPIDS,MICHIGAN,43,43,Higher Ed,0,0,0,0
DOWLING COLLEGE,OAKDALE,NEW YORK,42,42,Higher Ed,0,0,0,0
UNIVERSITY OF HOUSTON-CLEAR LAKE,HOUSTON,TEXAS,42,42,Higher Ed,0,0,0,0
COMMONWEALTH MEDICAL COLLEGE,SCRANTON,PENNSYLVANIA,41,41,Higher Ed,0,0,0,0
GRAND VALLEY STATE UNIVERSITY,Allendale,MICHIGAN,41,41,Higher Ed,0,0,0,0
RADFORD UNIVERSITY,RADFORD,VIRGINIA,39.5,39.5,Higher Ed,0,0,0,0
EAST CENTRAL UNIVERSITY,ADA,OKLAHOMA,39,39,Higher Ed,0,0,0,0
MOUNT ST. MARY'S COLLEGE,LOS ANGELES,CALIFORNIA,39,39,Higher Ed,0,0,0,0
CONNECTICUT COLLEGE,NEW LONDON,CONNECTICUT,38,38,Higher Ed,0,0,0,0
LITTLE BIG HORN COLLEGE,CROW AGENCY,MONTANA,38,38,Higher Ed,0,0,0,0
UNIVERSITY OF WEST GEORGIA,CARROLLTON,GEORGIA,37.5,37.5,Higher Ed,0,0,0,0
UNIVERSITY OF SOUTH CAROLINA,COLUMBIA,SOUTH CAROLINA,37,37,Higher Ed,0,0,0,0
NEWARK BETH ISRAEL MEDICAL CENTER,NEWARK,NEW JERSEY,36.4,36.4,Hosp,0,0,0,0
NORTHERN MICHIGAN UNIVERSITY,MARQUETTE,MICHIGAN,37,36,Higher Ed,0,0,0,0
SAINT THOMAS UNIVERSITY,MIAMI,FLORIDA,36,36,Higher Ed,0,0,0,0
TEXAS A&M UNIVERSITY-COMMERCE,COMMERCE,TEXAS,52,36,Higher Ed,0,0,0,0
SANTA CLARA UNIVERSITY,SANTA CLARA,CALIFORNIA,35.5,35.5,Higher Ed,0,0,0,0
BALDWIN-WALLACE COLLEGE,BEREA,OHIO,35,35,Higher Ed,0,0,0,0
"SOUTHERN UNIVERSITY AT SHREVEPORT, LA",SHREVEPORT,LOUISIANA,35,35,Higher Ed,0,0,0,0
HAMLINE UNIVERSITY,ST. PAUL,MINNESOTA,34,34,Higher Ed,0,0,0,0
SINGING RIVER HEALTH SYSTEM,PASCAGOULA,MISSISSIPPI,33,33,Hosp,0,0,0,0
APPALACHIAN STATE UNIVERSITY,BOONE,NORTH CAROLINA,31.9,31.9,Higher Ed,0,0,0,0
SAM HOUSTON STATE UNIVERSITY,HUNTSVILLE,TEXAS,31.5,31.5,Higher Ed,0,0,0,0
UNIVERSITY OF LA VERNE,LA VERNE,CALIFORNIA,44,31.5,Higher Ed,0,0,0,0
NAT'L COALITION/HLTH PROFESS ED/GENETICS,LUTHERVILLE,MARYLAND,31,31,NP res inst,0,0,0,0
DRAKE UNIVERSITY,DES MOINES,IOWA,30,30,Higher Ed,0,0,0,0
EASTERN KENTUCKY UNIVERSITY,RICHMOND,KENTUCKY,30,30,Higher Ed,0,0,0,0
CHINESE COMMUNITY HEALTH RESOURCE CENTER,SAN FRANCISCO,CALIFORNIA,29.8,29.8,NP res inst,0,0,0,0
INTERNATIONAL BREAST CANCER RESEARCH FDN,MADISON,WISCONSIN,26.2,26.2,NP res inst,0,0,0,0
MIDWEST BIOMEDICAL RESEARCH FOUNDATION,KANSAS CITY,MISSOURI,27.8,25,NP res inst,0,0,0,0
AMERICAN SOCIETY FOR CELL BIOLOGY,BETHESDA,MARYLAND,23.75,23.8,NP res inst,0,0,0,0
SOUTH CAROLINA HIV/AIDS COUNCIL,COLUMBIA,SOUTH CAROLINA,23,23,NP res inst,0,0,0,0
HASKELL INDIAN NATIONS UNIVERSITY,LAWRENCE,KANSAS,19.9,19.9,Higher Ed,0,0,0,0
KRONOS LONGEVITY RESEARCH INSTITUTE,PHOENIX,ARIZONA,17.3,17.3,NP res inst,0,0,0,0
NATIVE AMERICAN CANCER RESEARCH,PINE,COLORADO,16.3,16.3,NP res inst,0,0,0,0
AERAS GLOBAL TB VACCINE FOUNDATION,ROCKVILLE,MARYLAND,15,15,NP res inst,0,0,0,0
"PROVIDENCE HOSPITAL (MOBILE, AL)",MOBILE,ALABAMA,15,15,Hosp,0,0,0,0
MASSACHUSETTS STATE DEPT OF PUB HEALTH,BOSTON,MASSACHUSETTS,14.8,13.8,NP res inst,0,0,0,0
"MOUNTAIN STATES GROUP, INC.",BOISE,IDAHO,12.7,12.7,NP res inst,0,0,0,0
"NEIGHBORHOOD HOUSE, INC.",SEATTLE,WASHINGTON,11.3,11.2,NP res inst,0,0,0,0
